Agent_0,Bidding_Factor_0,Participated_0,Agent_1,Bidding_Factor_1,Participated_1,Agent_2,Bidding_Factor_2,Participated_2,Agent_3,Bidding_Factor_3,Participated_3,seller_id,starting_price,market_price
100.11409211148603,1.5018711608644193,1,91.68716408762201,1.3754537913733411,1,114.19233754035484,1.7130673107695094,1,81.74075593546053,2.477256151336392,1,3,65.99297847448217,96.93358741873085
127.3229304575312,1.8288145221231134,1,,1.318120965715794,0,98.10850982079043,1.4091905272630074,1,94.18227998685524,2.7329207414402,1,2,68.92426740281013,106.53790675505896
95.16027685298978,1.0665865312070133,1,,1.9769380264505223,0,,1.3026062874997981,0,131.1334612097164,1.4697853783350623,1,1,88.3272677162421,113.14686903135308
,1.5597848932576872,0,,1.2937212201943562,0,,1.1440644832076932,0,163.7088949152177,1.8037890023016803,1,4,89.85075624657752,163.7088949152177
27.229093416672683,1.5441870443251102,1,22.584432066290166,1.2807840079924127,1,19.971881265561873,2.2881289664153863,1,31.488661968676368,1.7857511122786633,1,4,17.45695418283183,25.318517179300272
100.46772460170686,1.0559206658949432,1,,1.9769380264505223,0,122.6997397097086,1.2895802246248,1,138.44726920287928,1.4550875245517116,1,1,94.19556844395134,120.53824450476492
,1.8288145221231134,0,,1.318120965715794,0,20.867206057544387,1.3950986219903774,1,40.46892109141038,2.705591534025798,1,2,14.807938070711845,30.668063574477383
,1.2533327696856764,0,,1.6139418815207978,0,,1.753605117019955,0,44.29753686272532,1.3757883086542722,1,0,31.87595156771933,44.29753686272532
125.54434570457656,1.5287451738818592,1,104.12934810145906,2.5615680159848253,1,186.02775812165743,2.2652476767512324,1,145.18380775576813,1.7678936011558768,1,4,81.30125567751149,140.2213149208653
,1.0559206658949432,0,125.88914606521634,1.9571686461860172,1,82.11898961349105,2.5791604492496,1,92.65830464339496,1.4405366493061944,1,1,63.67885304489944,100.22214677403412
,1.2533327696856764,0,31.585249642868668,1.5978024627055898,1,34.318494383388646,1.7360690658497553,1,,1.3757883086542722,0,0,19.570252190931605,32.95187201312866
,1.8288145221231134,0,,1.318120965715794,0,69.09406791012916,1.3811476357704735,1,,2.705591534025798,0,2,49.526296435984676,69.09406791012916
8.312170264521676,2.1118413317898863,1,15.40676259962521,1.937596959724157,1,20.303060150369166,2.553368844757104,1,11.339853729605826,1.4261312828131325,1,1,7.8719647535989035,13.840461686030471
43.32721183776874,1.8105263769018822,1,31.228156611022314,2.636241931431588,1,32.72134788430576,1.3673361594127686,1,,2.705591534025798,0,2,23.691419394170808,35.7589054443656
141.77907631748482,1.486852449255775,1,129.8450713615502,1.3616992534596077,1,,1.7130673107695094,0,,2.477256151336392,0,3,94.40162379566715,135.8120738395175
24.66876257443691,1.5134577221430405,1,,2.5615680159848253,0,,2.2652476767512324,0,,1.7678936011558768,0,4,16.136608635562766,24.66876257443691
97.45976282264323,1.7924211131328633,1,141.90763341436428,2.609879512117272,1,73.60304687923035,2.7346723188255373,1,145.64068911954638,2.67853561868554,1,2,53.829518346710536,114.65278305894606
,1.486852449255775,0,25.103405603192282,2.7233985069192155,1,31.580999562538473,1.6959366376618144,1,45.669090140134394,2.452483589823028,1,3,18.435352402091134,34.11783176862172
,2.1118413317898863,0,109.20753006949201,1.9182209901269154,1,,2.553368844757104,0,80.38011938924113,1.4118699699850012,1,1,56.36235622760224,94.79382472936658
,1.5134577221430405,0,254.22985877688572,2.535952335824977,1,,2.2652476767512324,0,,1.7678936011558768,0,4,99.24774871892052,254.22985877688572
66.78994079672796,3.026915444286081,1,111.91333850623813,2.510592812466727,1,99.96695382141704,2.24259519998372,1,78.01837291425535,1.750214665144318,1,4,44.13069477894241,89.17215150965961
117.80077937959952,1.7744969020015346,1,171.52545144756624,2.5837807169960993,1,179.72703409100373,2.7073255956372817,1,,2.67853561868554,0,2,65.72159774089178,156.35108830605648
,1.2533327696856764,0,153.6727993421004,1.5818244380785338,1,166.97094880464903,1.7187083751912577,1,,1.3757883086542722,0,0,96.1775957472761,160.32187407337472
