Agent_0,Bidding_Factor_0,Participated_0,Agent_1,Bidding_Factor_1,Participated_1,Agent_2,Bidding_Factor_2,Participated_2,Agent_3,Bidding_Factor_3,Participated_3,seller_id,starting_price,market_price
74.83985793846087,1.2474636792479297,1,95.03015035459873,1.2960035642611594,1,79.22835288345439,1.0805015812808179,1,77.75354520727198,1.2960303005731295,1,4,65.99297847448217,81.71297659594649
69.48280734980044,1.1089140438461054,1,80.71027131915378,1.0538994018277634,1,,1.5974970707656952,0,122.07666096711579,1.5940538653578016,1,0,68.92426740281013,90.75657987869
149.71739129577676,1.5255272312858073,1,,1.9013480888086787,0,,1.3704550770456536,0,97.16701099451551,1.0,1,3,88.3272677162421,123.44220114514613
113.69586229665154,1.1388471320839224,1,,1.7076362323750125,0,,1.6777144878612125,0,,1.401701653117931,0,2,89.85075624657752,113.69586229665154
19.880802206038464,1.2527318452923148,1,29.81012746951416,1.5368726091375113,1,29.287784946466353,1.5099430390750912,1,24.469441536479355,1.2615314878061379,1,2,17.45695418283183,25.86203903962458
104.45478871556467,1.0,1,99.27265323790647,1.15928934201054,1,150.47714466832184,1.4377473636891258,1,,1.5940538653578016,0,0,94.19556844395134,118.06819554059767
,1.2474636792479297,0,19.191140519001067,1.1664032078350435,1,16.000000500912574,1.0,1,,1.2960303005731295,0,4,14.807938070711845,17.595570509956822
,1.1045616761834685,0,45.478977959500476,1.284073985261077,1,,1.5625480576515525,0,,1.213673826826172,0,1,31.87595156771933,45.478977959500476
89.80225124697283,1.2150178438018153,1,104.39682738455194,1.1556665867349694,1,127.03711914352783,1.4062932518863973,1,98.67320610389841,1.3350412095087894,1,1,81.30125567751149,104.97735096973774
63.67885304489944,1.0,1,,1.15928934201054,0,91.55410308805143,1.2939726273202132,1,101.50752183777337,1.4346484788220215,1,0,63.67885304489944,85.58015932357473
,1.5255272312858073,0,,1.9013480888086787,0,26.820151474126043,1.2334095693410883,1,19.570252190931605,1.0,1,3,19.570252190931605,23.195201832528824
,1.2527318452923148,0,,1.5368726091375113,0,74.78188655468456,1.3589487351675822,1,,1.2615314878061379,0,2,49.526296435984676,74.78188655468456
7.8719647535989035,1.1,1,9.125884839529835,1.043360407809486,1,10.186106914386489,1.164575364588192,1,11.293502259091236,1.2911836309398195,1,0,7.8719647535989035,9.619364691651615
36.141905433620266,1.3729745081572267,1,,1.9013480888086787,0,29.22122339204332,1.1100686124069794,1,23.691419394170808,1.1,1,3,23.691419394170808,29.684849406611463
117.76259694712185,1.1227173113231368,1,,1.1664032078350435,0,,1.0,0,122.34736486249,1.1664272705158165,1,4,94.40162379566715,120.05498090480592
,1.2150178438018153,0,,1.1556665867349694,0,,1.4062932518863973,0,21.54303751019169,1.2015370885579104,1,1,16.136608635562766,21.54303751019169
73.9065564764153,1.2356770573415041,1,102.34865183000979,1.7112132799278108,1,59.754458737669005,1.0,1,59.2124701813816,1.2100000000000002,1,3,53.829518346710536,73.80553430636893
20.278887642300248,1.0,1,19.234716800357393,1.1476964485904346,1,,1.164575364588192,0,23.803425252187154,1.1620652678458376,1,0,18.435352402091134,21.105676564948265
,1.2150178438018153,0,65.13609184189353,1.0400999280614724,1,,1.4062932518863973,0,67.72146140597701,1.0813833797021195,1,1,56.36235622760224,66.42877662393528
,1.1227173113231368,0,,1.1664032078350435,0,,1.0,0,115.76528064305009,1.049784543464235,1,4,99.24774871892052,115.76528064305009
53.619581615786636,1.0935160594216338,1,45.900332464880805,1.1441099208676198,1,62.06069826868498,1.2656639266977576,1,47.72219986865542,1.0,1,1,44.13069477894241,52.32570305450196
82.33153841350659,1.3780050298215465,1,101.00572339673032,1.3831853482237602,1,89.31228212317751,1.223053861650824,1,,1.2615314878061379,0,2,65.72159774089178,90.88318131113813
118.84444849517489,1.1121093516073537,1,164.5803790742674,1.5400919519350298,1,,1.0,0,,1.2100000000000002,0,3,96.1775957472761,141.71241378472115
,1.0,0,21.77777639226262,1.0329268037313912,1,,1.164575364588192,0,,1.1620652678458376,0,0,18.97520587347762,21.77777639226262
68.0404483229425,1.1,1,70.2808028106679,1.0,1,79.23822991243479,1.0481178281293728,1,79.06744180475104,1.0458587410612539,1,0,68.0404483229425,74.15673071269904
24.368963474180433,1.0,1,,1.1441099208676198,0,28.205272098700053,1.1390975340279819,1,22.284961674060188,1.1,1,1,22.284961674060188,24.953065748980222
,1.1227173113231368,0,,1.1664032078350435,0,86.46027292136993,1.0,1,90.76465813655349,1.0,1,4,86.46027292136993,88.6124655289617
,1.1121093516073537,0,,1.5400919519350298,0,,1.0,0,67.59535444971438,1.0890000000000002,1,3,55.8639292972846,67.59535444971438
56.015064905848355,1.0,1,64.08739147682475,1.0296989287808578,1,63.80662230266921,1.0251877806251837,1,61.616571396433194,1.0,1,1,56.015064905848355,61.381412520443874
,1.1121093516073537,0,109.50477816508584,1.3860827567415268,1,71.1027533307345,1.1,1,77.43089837716988,1.0,1,3,71.1027533307345,86.01280995766342
,1.1,0,29.66305283964148,1.0,1,31.090374517971853,1.0,1,,1.0458587410612539,0,0,29.66305283964148,30.376713678806667
,1.1227173113231368,0,,1.1664032078350435,0,36.589404251263915,1.0,1,,1.0,0,4,36.589404251263915,36.589404251263915
23.174661044086363,1.240204526839392,1,23.2617812798429,1.2448668134013843,1,20.56876286299863,1.3453592478159064,1,21.215862056857123,1.135378339025524,1,2,16.817544597124957,22.055266810946254
31.077488701595996,1.0104455801908232,1,32.28674052445056,1.0497628870515392,1,27.68059990539451,1.0,1,,1.0,0,4,27.68059990539451,30.34827637714702
